54	18	55	24
14	4	32	24
56	20	51	24
57	9	58	24
59	1	54	24
60	1	61	24
62	2	32	24
63	21	64	24
65	1	21	24
21	8	5	24
66	1	6	24
67	1	68	24
69	22	14	24
70	1	71	24
72	1	73	24
36	9	58	24
74	12	75	24
57	9	36	24
76	1	58	24
63	21	77	24
77	23	63	24
78	7	54	24
79	7	36	24
80	2	21	24
81	0	82	24
58	9	36	24
83	1	22	24
84	24	85	24
14	11	69	24
86	1	7	24
6	2	7	24
69	5	14	24
87	12	88	24
36	9	57	24
22	10	7	24
89	1	90	24
64	23	63	24
91	3	19	24
77	23	6	24
58	9	57	24
6	21	77	24
88	25	87	24
260	7	40	120
261	23	262	120
263	1	264	120
265	10	266	120
22	36	267	120
56	9	2	120
268	9	111	120
269	10	58	120
63	23	32	120
202	18	203	120
270	10	120	120
56	13	51	120
234	23	56	120
51	50	3	120
51	46	56	120
111	9	271	120
56	14	51	120
272	34	273	120
274	51	1	120
21	9	225	120
275	29	276	120
123	21	124	120
35	21	81	120
1	8	44	120
128	21	81	120
277	14	278	120
61	18	55	120
44	45	229	120
32	21	63	120
51	6	3	120
279	1	280	120
189	29	132	120
191	10	192	120
22	7	9	120
51	6	52	120
51	14	56	120
22	18	9	120
281	8	19	120
282	23	5	120
51	42	56	120
2	9	56	120
192	10	191	120
185	9	111	120
250	15	14	120
85	12	283	120
284	52	121	120
23	30	285	120
56	21	234	120
111	48	52	120
51	50	7	120
124	1	5	120
286	8	194	120
51	19	52	120
44	15	0	120
21	0	227	120
283	3	85	120
7	1	56	120
262	21	261	120
287	1	288	120
14	10	7	120
56	4	7	120
289	10	7	120
225	9	21	120
124	23	123	120
217	14	6	120
131	10	56	120
111	9	268	120
276	29	275	120
199	1	124	120
6	9	51	120
271	9	111	120
51	10	7	120
115	18	290	120
61	4	55	120
291	1	292	120
293	50	294	120
295	1	189	120
151	1	7	120
7	18	14	120
59	1	54	120
132	29	189	120
179	0	147	120
278	14	277	120
22	1	8	120
128	32	189	120
81	1	35	120
6	46	56	120
296	8	164	120
81	23	35	120
237	10	209	120
22	36	8	120
51	9	6	120
278	1	270	120
297	1	298	120
5	21	282	120
189	32	128	120
81	23	128	120
56	46	51	120
23	1	299	120
47	10	36	120
300	38	301	120
51	13	56	120
302	1	303	120
5	1	21	120
304	14	78	120
111	1	56	120
111	9	185	120
56	46	6	120
305	10	14	120
164	0	306	120
51	31	7	120
1	17	23	216
96	18	97	216
147	9	78	216
10	7	1	216
414	65	415	216
416	66	38	216
378	0	56	216
417	1	418	216
355	10	356	216
419	11	56	216
225	67	5	216
147	48	58	216
420	30	132	216
81	10	58	216
7	0	391	216
370	14	160	216
1	32	100	216
421	11	422	216
7	21	63	216
195	9	56	216
6	0	1	216
423	68	381	216
21	13	233	216
349	36	24	216
224	9	10	216
10	10	1	216
1	9	110	216
63	23	7	216
51	9	224	216
133	1	1	216
424	0	425	216
305	10	14	216
426	30	5	216
182	12	33	216
33	12	182	216
427	1	179	216
10	9	224	216
316	9	1	216
23	19	24	216
428	44	24	216
429	9	363	216
10	9	51	216
21	23	217	216
430	14	431	216
432	8	433	216
51	9	10	216
56	18	434	216
435	14	436	216
7	21	4	216
23	10	437	216
213	30	1	216
121	12	122	216
56	9	195	216
100	32	1	216
56	13	51	216
47	0	1	216
6	25	5	216
14	10	7	216
438	9	289	216
439	12	122	216
440	11	98	216
162	1	21	216
23	17	1	216
162	1	6	216
433	8	432	216
180	7	14	216
217	21	21	216
441	69	217	216
317	67	217	216
4	23	7	216
9	16	408	216
442	1	443	216
444	23	179	216
2	0	56	216
2	1	3	216
233	13	21	216
445	1	63	216
56	9	2	216
408	16	9	216
78	9	147	216
100	1	1	216
47	10	1	216
47	7	1	216
4	0	7	216
446	10	56	216
33	64	344	216
101	70	447	216
448	16	58	216
363	9	429	216
449	0	1	216
450	9	451	216
452	0	453	216
211	9	21	216
7	21	355	216
58	21	39	216
250	15	14	216
1	9	316	216
355	23	7	216
1	1	51	216
56	9	137	216
39	23	58	216
14	10	151	216
112	30	56	216
179	21	444	216
7	30	14	216
289	9	438	216
133	0	1	216
137	9	56	216
57	0	132	216
10	1	1	216
2	9	56	216
355	7	258	216
435	0	436	216
454	1	150	216
