total length of train: 1292
number of train quadruples: 149001
24	1
120	5
216	9
264	11
360	15
408	17
504	21
552	23
624	26
720	30
816	34
888	37
960	40
1056	44
1128	47
1152	48
1176	49
1272	53
1296	54
1320	55
1344	56
1368	57
1464	61
1560	65
1608	67
1704	71
1776	74
1848	77
1920	80
1944	81
2016	84
2040	85
2064	86
2136	89
2208	92
2232	93
2256	94
2328	97
2400	100
2496	104
2568	107
2592	108
2688	112
2736	114
2784	116
2880	120
2976	124
3072	128
3168	132
3216	134
3312	138
3408	142
3480	145
3504	146
3552	148
3624	151
3672	153
3696	154
3720	155
3768	157
3816	159
3888	162
3912	163
4008	167
4032	168
4080	170
4152	173
4200	175
4248	177
4296	179
4344	181
4416	184
4512	188
4560	190
4608	192
4656	194
4752	198
4776	199
4800	200
4848	202
4944	206
4968	207
5016	209
5112	213
5136	214
5232	218
5328	222
5400	225
5496	229
5544	231
5616	234
5664	236
5736	239
5760	240
5784	241
5808	242
5904	246
5952	248
6000	250
6096	254
6168	257
6264	261
6312	263
6384	266
6408	267
6504	271
6600	275
6672	278
6720	280
6768	282
6840	285
6936	289
7008	292
7056	294
7152	298
7200	300
7296	304
7368	307
7416	309
7488	312
7560	315
7656	319
7704	321
7752	323
7776	324
7824	326
7848	327
7920	330
8016	334
8064	336
8088	337
8136	339
8160	340
8256	344
8280	345
8304	346
8352	348
8448	352
8496	354
8544	356
8616	359
8640	360
8736	364
8784	366
8856	369
8904	371
8952	373
9000	375
9024	376
9096	379
9192	383
9288	387
9336	389
9408	392
9456	394
9504	396
9528	397
9552	398
9576	399
9648	402
9696	404
9792	408
9816	409
9888	412
9984	416
10056	419
10080	420
10152	423
10224	426
10296	429
10344	431
10392	433
10464	436
10488	437
10560	440
10608	442
10656	444
10704	446
10776	449
10872	453
10944	456
10992	458
11088	462
11160	465
11184	466
11256	469
11280	470
11376	474
11400	475
11496	479
11592	483
11616	484
11712	488
11784	491
11832	493
11856	494
11904	496
11952	498
12000	500
12024	501
12120	505
12144	506
12192	508
12264	511
12312	513
12336	514
12432	518
12528	522
12600	525
12696	529
12792	533
12816	534
12864	536
12936	539
12984	541
13032	543
13104	546
13152	548
13248	552
13272	553
13320	555
13416	559
13512	563
13584	566
13608	567
13656	569
13704	571
13752	573
13776	574
13848	577
13944	581
14040	585
14064	586
14112	588
14208	592
14280	595
14376	599
14448	602
14520	605
14592	608
14664	611
14712	613
14760	615
14832	618
14928	622
15000	625
15024	626
15048	627
15144	631
15216	634
15240	635
15264	636
15288	637
15312	638
15384	641
15432	643
15528	647
15552	648
15648	652
15744	656
15792	658
15888	662
15984	666
16008	667
16032	668
16104	671
16128	672
16152	673
16176	674
16272	678
16296	679
16392	683
16416	684
16464	686
16488	687
16584	691
16680	695
16704	696
16728	697
16776	699
16824	701
16872	703
16968	707
16992	708
17040	710
17136	714
17232	718
17328	722
17352	723
17448	727
17520	730
17568	732
17664	736
17688	737
17784	741
17880	745
17928	747
17976	749
18000	750
18048	752
18120	755
18216	759
18240	760
18264	761
18360	765
18408	767
18480	770
18576	774
18648	777
18720	780
18816	784
18888	787
18960	790
19032	793
19128	797
19224	801
19272	803
19344	806
19368	807
19416	809
19488	812
19512	813
19560	815
19632	818
19656	819
19680	820
19752	823
19776	824
19824	826
19872	828
19944	831
20040	835
20064	836
20136	839
20208	842
20280	845
20328	847
20400	850
20472	853
20544	856
20592	858
20640	860
20712	863
20808	867
20856	869
20904	871
20976	874
21000	875
21024	876
21072	878
21144	881
21216	884
21288	887
21336	889
21384	891
21432	893
21504	896
21600	900
21648	902
21672	903
21744	906
21768	907
21864	911
21912	913
21936	914
21960	915
22032	918
22128	922
22224	926
22248	927
22344	931
22392	933
22464	936
22512	938
22608	942
22632	943
22680	945
22752	948
22776	949
22872	953
22944	956
23040	960
23064	961
23088	962
23160	965
23232	968
23280	970
23376	974
23448	977
23496	979
23544	981
23616	984
23640	985
23688	987
23712	988
23808	992
23904	996
24000	1000
24072	1003
24120	1005
24216	1009
24240	1010
24336	1014
24432	1018
24504	1021
24552	1023
24600	1025
24624	1026
24696	1029
24768	1032
24864	1036
24912	1038
24960	1040
25056	1044
25080	1045
25152	1048
25224	1051
25248	1052
25272	1053
25320	1055
25416	1059
25464	1061
25536	1064
25584	1066
25632	1068
25656	1069
25704	1071
25752	1073
25776	1074
25848	1077
25896	1079
25920	1080
25992	1083
26064	1086
26112	1088
26184	1091
26256	1094
26304	1096
26328	1097
26400	1100
26472	1103
26520	1105
26616	1109
26688	1112
26760	1115
26808	1117
26832	1118
